Trimestre,Activos,Var. Activos trimestre anterior,Var. Activos trimestre anterior (%),Ocupados,Var. Ocupados trimestre anterior,Ocupados sobre total (%),Var. ocupados trimestre anterior (%),Parados,Var. Parados trimestre anterior,Parados sobre total (%),Var. parados trimestre anterior (%),Tasa de actividad (%),Var. Tasa de Actividad trimestre anterior (%)
2020T2,21975.2,-1019,-4.64,18607.2,-1074.1,84.67,-5.77,3368,55,15.33,1.63,55.5,-2.7
2020T1,22994.2,-164.6,-0.72,19681.3,-285.6,85.59,-1.45,3313,121.1,14.41,3.66,58.2,-0.5
2019T4,23158.8,70.1,0.3,19966.9,92.6,86.22,0.46,3191.9,-22.5,13.78,-0.7,58.7,0
2019T3,23088.7,53.2,0.23,19874.3,69.4,86.08,0.35,3214.4,-16.2,13.92,-0.5,58.7,0
2019T2,23035.5,210.1,0.91,19804.9,333.8,85.98,1.69,3230.6,-123.6,14.02,-3.83,58.7,0.3
2019T1,22825.4,-43.4,-0.19,19471.1,-93.5,85.3,-0.48,3354.2,49.9,14.7,1.49,58.4,-0.2
2018T4,22868.8,14.8,0.06,19564.6,36.6,85.55,0.19,3304.3,-21.7,14.45,-0.66,58.6,-0.1
2018T3,22854,19.8,0.09,19528,183.9,85.45,0.94,3326,-164.1,14.55,-4.93,58.7,-0.1
2018T2,22834.2,163.9,0.72,19344.1,469.9,84.72,2.43,3490.1,-306,15.28,-8.77,58.8,0.3
2018T1,22670.3,-94.7,-0.42,18874.2,-124.2,83.26,-0.66,3796.1,29.4,16.74,0.77,58.5,-0.3
2017T4,22765,-15.9,-0.07,18998.4,-50.9,83.45,-0.27,3766.7,35,16.55,0.93,58.8,-0.1
2017T3,22780.9,53.3,0.23,19049.3,236,83.62,1.24,3731.7,-182.6,16.38,-4.89,58.9,0.1
2017T2,22727.6,34.3,0.15,18813.3,375,82.78,1.99,3914.3,-340.7,17.22,-8.7,58.8,0
2017T1,22693.3,-52.6,-0.23,18438.3,-69.8,81.25,-0.38,4255,17.2,18.75,0.4,58.8,-0.2
2016T4,22745.9,-102.4,-0.45,18508.1,-19.4,81.37,-0.1,4237.8,-83,18.63,-1.96,59,-0.3
2016T3,22848.3,-27.4,-0.12,18527.5,226.5,81.09,1.22,4320.8,-253.9,18.91,-5.88,59.3,-0.1
2016T2,22875.7,54.7,0.24,18301,271.4,80,1.48,4574.7,-216.7,20,-4.74,59.4,0.1
2016T1,22821,-52.7,-0.23,18029.6,-64.6,79,-0.36,4791.4,11.9,21,0.25,59.3,-0.1
2015T4,22873.7,-25.8,-0.11,18094.2,45.5,79.1,0.25,4779.5,-71.3,20.9,-1.49,59.4,-0.1
2015T3,22899.5,-116,-0.51,18048.7,182.2,78.82,1.01,4850.8,-298.2,21.18,-6.15,59.5,-0.3
2015T2,23015.5,116.1,0.5,17866.5,411.7,77.63,2.3,5149,-295.6,22.37,-5.74,59.8,0.3
2015T1,22899.4,-127.4,-0.56,17454.8,-114.3,76.22,-0.65,5444.6,-13.1,23.78,-0.24,59.5,-0.3
2014T4,23026.8,95.1,0.41,17569.1,65.1,76.3,0.37,5457.7,30,23.7,0.55,59.8,0.3
2014T3,22931.7,-44.2,-0.19,17504,151,76.33,0.86,5427.7,-195.2,23.67,-3.6,59.5,-0.1
2014T2,22975.9,92,0.4,17353,402.4,75.53,2.32,5622.9,-310.4,24.47,-5.52,59.6,0.1
2014T1,22883.9,-187,-0.82,16950.6,-184.6,74.07,-1.09,5933.3,-2.3,25.93,-0.04,59.5,-0.4
2013T4,23070.9,-102.5,-0.44,17135.2,-94.8,74.27,-0.55,5935.6,-7.8,25.73,-0.13,59.9,-0.1
2013T3,23173.4,-34.5,-0.15,17230,69.4,74.35,0.4,5943.4,-103.9,25.65,-1.75,60,0
2013T2,23207.9,-100.5,-0.43,17160.6,130.4,73.94,0.76,6047.3,-230.9,26.06,-3.82,60,-0.2
2013T1,23308.4,-52,-0.22,17030.2,-309.2,73.06,-1.82,6278.2,257.2,26.94,4.1,60.2,0
2012T4,23360.4,-131.5,-0.56,17339.4,-328.3,74.23,-1.89,6021,196.8,25.77,3.27,60.2,-0.4
2012T3,23491.9,2.4,0.01,17667.7,-90.8,75.21,-0.51,5824.2,93.2,24.79,1.6,60.6,0.1
2012T2,23489.5,56.5,0.24,17758.5,-6.6,75.6,-0.04,5731,63.1,24.4,1.1,60.5,0.2
2012T1,23433,-7.3,-0.03,17765.1,-387.9,75.81,-2.18,5667.9,380.6,24.19,6.72,60.3,0
2011T4,23440.3,-42.2,-0.18,18153,-331.5,77.44,-1.83,5287.3,289.3,22.56,5.47,60.3,-0.1
2011T3,23482.5,16.3,0.07,18484.5,-137.5,78.72,-0.74,4998,153.8,21.28,3.08,60.4,0
2011T2,23466.2,118.9,0.51,18622,195.8,79.36,1.05,4844.2,-77,20.64,-1.59,60.4,0.2
2011T1,23347.3,-29.8,-0.13,18426.2,-248.7,78.92,-1.35,4921.2,219,21.08,4.45,60.2,-0.1
2010T4,23377.1,-27.3,-0.12,18674.9,-144.1,79.89,-0.77,4702.2,116.8,20.11,2.48,60.3,-0.1
2010T3,23404.4,-2,-0.01,18819,67.9,80.41,0.36,4585.4,-69.9,19.59,-1.52,60.4,0
2010T2,23406.4,135.9,0.58,18751.1,98.2,80.11,0.52,4655.3,37.6,19.89,0.81,60.4,0.3
2010T1,23270.5,45.1,0.19,18652.9,-237.5,80.16,-1.27,4617.7,282.7,19.84,6.12,60.1,0.1
2009T4,23225.4,5.6,0.02,18890.4,-208,81.34,-1.1,4335,213.6,18.66,4.93,60,-0.1
2009T3,23219.8,-73.6,-0.32,19098.4,-55.8,82.25,-0.29,4121.4,-18.2,17.75,-0.44,60.1,-0.2
2009T2,23293.4,-9.2,-0.04,19154.2,-130.2,82.23,-0.68,4139.6,121.4,17.77,2.93,60.3,-0.1
2009T1,23302.6,40.5,0.17,19284.4,-770.9,82.76,-4,4018.2,811.4,17.24,20.19,60.4,0
2008T4,23262.1,105,0.45,20055.3,-501.1,86.21,-2.5,3206.8,606.1,13.79,18.9,60.4,0.2
2008T3,23157.1,124.5,0.54,20556.4,-90.5,88.77,-0.44,2600.7,215,11.23,8.27,60.2,0.1
2008T2,23032.6,222.2,0.96,20646.9,26.9,89.64,0.13,2385.7,195.2,10.36,8.18,60.1,0.4
2008T1,22810.4,150.5,0.66,20620,-97.9,90.4,-0.47,2190.5,248.5,9.6,11.34,59.7,0.2
2007T4,22659.9,100.3,0.44,20717.9,-35.5,91.43,-0.17,1942,135.8,8.57,6.99,59.5,0
2007T3,22559.6,205.5,0.91,20753.4,172.5,91.99,0.83,1806.2,33,8.01,1.83,59.5,0.3
2007T2,22354.1,223.3,1,20580.9,313.4,92.07,1.52,1773.2,-90,7.93,-5.08,59.2,0.3
2007T1,22130.8,116,0.52,20267.5,72.1,91.58,0.36,1863.2,43.8,8.42,2.35,58.9,0
2006T4,22014.8,157,0.71,20195.4,104.4,91.74,0.52,1819.4,52.5,8.26,2.89,58.9,0.2
2006T3,21857.8,131.8,0.6,20091,199.4,91.92,0.99,1766.9,-67.5,8.08,-3.82,58.7,0.1
2006T2,21726,204.7,0.94,19891.6,313.2,91.56,1.57,1834.4,-108.4,8.44,-5.91,58.6,0.3
2006T1,21521.3,151.8,0.71,19578.4,69.2,90.97,0.35,1942.8,82.5,9.03,4.25,58.3,0.2
2005T4,21369.5,163.9,0.77,19509.2,87.1,91.29,0.45,1860.3,76.8,8.71,4.13,58.1,0.2
2005T3,21205.6,75.9,0.36,19422.1,261.5,91.59,1.35,1783.5,-185.6,8.41,-10.41,57.9,0
2005T2,21129.7,272.3,1.29,19160.6,424.5,90.68,2.22,1969.1,-152.2,9.32,-7.73,57.9,0.5
2005T1,20857.4,189.7,0.91,18736.1,245.3,89.83,1.31,2121.3,-55.6,10.17,-2.62,57.4,0.3
2004T4,20667.7,178.8,0.87,18490.8,201.7,89.47,1.09,2176.9,-22.9,10.53,-1.05,57.1,0.2
2004T3,20488.9,222.4,1.09,18289.1,270.2,89.26,1.48,2199.8,-47.8,10.74,-2.17,56.9,0.3
2004T2,20266.5,186.5,0.92,18018.9,248.7,88.91,1.38,2247.6,-62.2,11.09,-2.77,56.6,0.4
2004T1,20080,62.9,0.31,17770.2,29.7,88.5,0.17,2309.8,33.1,11.5,1.43,56.2,-0.1
2003T4,20017.1,123.6,0.62,17740.5,94.5,88.63,0.53,2276.7,29.2,11.37,1.28,56.3,0.1
2003T3,19893.5,254.3,1.28,17646,222.8,88.7,1.26,2247.5,31.5,11.3,1.4,56.2,0.5
2003T2,19639.2,218,1.11,17423.2,330.5,88.72,1.9,2216,-112.5,11.28,-5.08,55.7,0.4
2003T1,19421.2,196.9,1.01,17092.7,100.8,88.01,0.59,2328.5,96.1,11.99,4.13,55.3,0.3
2002T4,19224.3,109,0.57,16991.9,72.6,88.39,0.43,2232.4,36.4,11.61,1.63,55,0.1
2002T3,19115.3,245.1,1.28,16919.3,152.4,88.51,0.9,2196,92.7,11.49,4.22,54.9,0.4
2002T2,18870.2,235.1,1.25,16766.9,284.6,88.85,1.7,2103.3,-49.5,11.15,-2.35,54.5,0.4
2002T1,18635.1,343.1,1.84,16482.3,134.1,88.45,0.81,2152.8,209,11.55,9.71,54.1,0.7
2001T4,18292,128,0.7,16348.2,53.9,89.37,0.33,1943.8,74.1,10.63,3.81,53.4,0.2
2001T3,18164,231.9,1.28,16294.3,218,89.71,1.34,1869.7,13.9,10.29,0.74,53.2,0.5
2001T2,17932.1,117.4,0.65,16076.3,210,89.65,1.31,1855.8,-92.5,10.35,-4.98,52.7,0.1
2001T1,17814.7,NA,NA,15866.3,NA,89.06,NA,1948.3,NA,10.94,NA,52.6,NA
